full_text,cleansing,Tokenization and Case Folding,Filtering/stopword removal,stemming_data
@AiraAfniAmalia @VIVAcoid @KPU_ID data pemilih aja bocor dengan sistem yg ketat apalagi cuman pakai amplop. Ijazah juga bisa dipalsukan,AiraAfniAmalia VIVAcoid KPUID data pemilih aja bocor dengan sistem yg ketat apalagi cuman pakai amplop Ijazah juga bisa dipalsukan,"['airaafniamalia', 'vivacoid', 'kpuid', 'data', 'pemilih', 'aja', 'bocor', 'dengan', 'sistem', 'yg', 'ketat', 'apalagi', 'cuman', 'pakai', 'amplop', 'ijazah', 'juga', 'bisa', 'dipalsukan']","['airaafniamalia', 'vivacoid', 'kpuid', 'data', 'pemilih', 'aja', 'bocor', 'sistem', 'yg', 'ketat', 'cuman', 'pakai', 'amplop', 'ijazah', 'dipalsukan']",airaafniamalia vivacoid kpuid data pilih aja bocor sistem yg ketat cuman pakai amplop ijazah palsu
"Pelanggaran data pertama kali dilaporkan oleh akun anonim bernama Jimbo"" yang mengklaim telah membobol situs web KPU dan memperoleh data 204 juta pemilih. Data tersebut kemudian dijual di situs BreachForums seharga Rp1,2 miliar. Data yang bocor mencakup nama lengkap, nomor Kartu… https://t.co/RAZnWkzS9J""",Pelanggaran data pertama kali dilaporkan oleh akun anonim bernama Jimbo yang mengklaim telah membobol situs web KPU dan memperoleh data  juta pemilih Data tersebut kemudian dijual di situs BreachForums seharga Rp miliar Data yang bocor mencakup nama lengkap nomor Kartu… ,"['pelanggaran', 'data', 'pertama', 'kali', 'dilaporkan', 'oleh', 'akun', 'anonim', 'bernama', 'jimbo', 'yang', 'mengklaim', 'telah', 'membobol', 'situs', 'web', 'kpu', 'dan', 'memperoleh', 'data', 'juta', 'pemilih', 'data', 'tersebut', 'kemudian', 'dijual', 'di', 'situs', 'breachforums', 'seharga', 'rp', 'miliar', 'data', 'yang', 'bocor', 'mencakup', 'nama', 'lengkap', 'nomor', 'kartu…']","['pelanggaran', 'data', 'kali', 'dilaporkan', 'akun', 'anonim', 'bernama', 'jimbo', 'mengklaim', 'membobol', 'situs', 'web', 'kpu', 'memperoleh', 'data', 'juta', 'pemilih', 'data', 'dijual', 'situs', 'breachforums', 'seharga', 'rp', 'miliar', 'data', 'bocor', 'mencakup', 'nama', 'lengkap', 'nomor', 'kartu…']",langgar data kali lapor akun anonim nama jimbo klaim bobol situs web kpu oleh data juta pilih data jual situs breachforums harga rp miliar data bocor cakup nama lengkap nomor kartu
"DPKPP Usut Laporan Terhadap Pimpinan KPU soal Dugaan Data Pemilih Bocor  Pada prinsipnya setiap pengaduan yang disampaikan ke DKPP akan ditindaklanjuti oleh DKPP sesuai ketentuan yang berlaku.""  &gt &gt  https://t.co/iZ6PJPRQS4  #detikcom""",DPKPP Usut Laporan Terhadap Pimpinan KPU soal Dugaan Data Pemilih Bocor  Pada prinsipnya setiap pengaduan yang disampaikan ke DKPP akan ditindaklanjuti oleh DKPP sesuai ketentuan yang berlaku  gt gt    detikcom,"['dpkpp', 'usut', 'laporan', 'terhadap', 'pimpinan', 'kpu', 'soal', 'dugaan', 'data', 'pemilih', 'bocor', 'pada', 'prinsipnya', 'setiap', 'pengaduan', 'yang', 'disampaikan', 'ke', 'dkpp', 'akan', 'ditindaklanjuti', 'oleh', 'dkpp', 'sesuai', 'ketentuan', 'yang', 'berlaku', 'gt', 'gt', 'detikcom']","['dpkpp', 'usut', 'laporan', 'pimpinan', 'kpu', 'dugaan', 'data', 'pemilih', 'bocor', 'prinsipnya', 'pengaduan', 'dkpp', 'ditindaklanjuti', 'dkpp', 'sesuai', 'ketentuan', 'berlaku', 'gt', 'gt', 'detikcom']",dpkpp usut lapor pimpin kpu duga data pilih bocor prinsip adu dkpp ditindaklanjuti dkpp sesuai tentu laku gt gt detikcom
BAHAYA! RATUSAN JUTA DATA PEMILIH 2024 BOCOR! ADA PENGKHIANAT DI KPU?  *sepertinya pemilu sudah tidak ada gunanya https://t.co/zCWA3EswGx,BAHAYA RATUSAN JUTA DATA PEMILIH  BOCOR ADA PENGKHIANAT DI KPU  sepertinya pemilu sudah tidak ada gunanya ,"['bahaya', 'ratusan', 'juta', 'data', 'pemilih', 'bocor', 'ada', 'pengkhianat', 'di', 'kpu', 'sepertinya', 'pemilu', 'sudah', 'tidak', 'ada', 'gunanya']","['bahaya', 'ratusan', 'juta', 'data', 'pemilih', 'bocor', 'pengkhianat', 'kpu', 'pemilu', 'gunanya']",bahaya ratus juta data pilih bocor khianat kpu milu guna
"Data Pemilih Bocor, KAMMI Laporkan KPU ke Bawaslu https://t.co/RrCeIcysPl",Data Pemilih Bocor KAMMI Laporkan KPU ke Bawaslu ,"['data', 'pemilih', 'bocor', 'kammi', 'laporkan', 'kpu', 'ke', 'bawaslu']","['data', 'pemilih', 'bocor', 'kammi', 'laporkan', 'kpu', 'bawaslu']",data pilih bocor kammi lapor kpu bawaslu
"Data Pemilih Diduga Bocor, Apa yang Perlu Dilakukan KPU?  Pakar Keamanan Siber menilai KPU perlu memperkuat sistem teknologi elektronik imbas adanya dugaan kebocoran data pemilih pada Pemilu 2024.  &gt &gt  https://t.co/3BYF5rumEo  #detikPemilu",Data Pemilih Diduga Bocor Apa yang Perlu Dilakukan KPU  Pakar Keamanan Siber menilai KPU perlu memperkuat sistem teknologi elektronik imbas adanya dugaan kebocoran data pemilih pada Pemilu   gt gt    detikPemilu,"['data', 'pemilih', 'diduga', 'bocor', 'apa', 'yang', 'perlu', 'dilakukan', 'kpu', 'pakar', 'keamanan', 'siber', 'menilai', 'kpu', 'perlu', 'memperkuat', 'sistem', 'teknologi', 'elektronik', 'imbas', 'adanya', 'dugaan', 'kebocoran', 'data', 'pemilih', 'pada', 'pemilu', 'gt', 'gt', 'detikpemilu']","['data', 'pemilih', 'diduga', 'bocor', 'kpu', 'pakar', 'keamanan', 'siber', 'menilai', 'kpu', 'memperkuat', 'sistem', 'teknologi', 'elektronik', 'imbas', 'dugaan', 'kebocoran', 'data', 'pemilih', 'pemilu', 'gt', 'gt', 'detikpemilu']",data pilih duga bocor kpu pakar aman siber nilai kpu kuat sistem teknologi elektronik imbas duga bocor data pilih milu gt gt detikpemilu
JKW GIBRAN MERUSAK DEMOKRASI Krn blm cukup umur UU MK dirubah  Krn ga mau cuti JKW kluarkan perpres Krn ga berani debat UU KPU di rubah   Knp debat perlu pendampingan? Krn Anak ga brani debat sendirian Klu ga tahu jawaban bisa tanya capres  204 jt data pemilih bocor  udh 3 minggu… https://t.co/t00FJOGii0,JKW GIBRAN MERUSAK DEMOKRASI Krn blm cukup umur UU MK dirubah  Krn ga mau cuti JKW kluarkan perpres Krn ga berani debat UU KPU di rubah   Knp debat perlu pendampingan Krn Anak ga brani debat sendirian Klu ga tahu jawaban bisa tanya capres   jt data pemilih bocor  udh  minggu… ,"['jkw', 'gibran', 'merusak', 'demokrasi', 'krn', 'blm', 'cukup', 'umur', 'uu', 'mk', 'dirubah', 'krn', 'ga', 'mau', 'cuti', 'jkw', 'kluarkan', 'perpres', 'krn', 'ga', 'berani', 'debat', 'uu', 'kpu', 'di', 'rubah', 'knp', 'debat', 'perlu', 'pendampingan', 'krn', 'anak', 'ga', 'brani', 'debat', 'sendirian', 'klu', 'ga', 'tahu', 'jawaban', 'bisa', 'tanya', 'capres', 'jt', 'data', 'pemilih', 'bocor', 'udh', 'minggu…']","['jkw', 'gibran', 'merusak', 'demokrasi', 'krn', 'blm', 'umur', 'uu', 'mk', 'dirubah', 'krn', 'ga', 'cuti', 'jkw', 'kluarkan', 'perpres', 'krn', 'ga', 'berani', 'debat', 'uu', 'kpu', 'rubah', 'knp', 'debat', 'pendampingan', 'krn', 'anak', 'ga', 'brani', 'debat', 'klu', 'ga', 'capres', 'jt', 'data', 'pemilih', 'bocor', 'udh', 'minggu…']",jkw gibran rusak demokrasi krn blm umur uu mk rubah krn ga cuti jkw kluarkan pres krn ga berani debat uu kpu rubah knp debat damping krn anak ga brani debat klu ga capres jt data pilih bocor udh minggu
Apa kabar Data Pemilih Bocor?  KPU Akan Tanggung Jawab soal Data Pemilih Bocor: Kita Sedang Selidiki https://t.co/DdYPTYaQXr https://t.co/YPnJZxD7E0,Apa kabar Data Pemilih Bocor  KPU Akan Tanggung Jawab soal Data Pemilih Bocor Kita Sedang Selidiki  ,"['apa', 'kabar', 'data', 'pemilih', 'bocor', 'kpu', 'akan', 'tanggung', 'jawab', 'soal', 'data', 'pemilih', 'bocor', 'kita', 'sedang', 'selidiki']","['kabar', 'data', 'pemilih', 'bocor', 'kpu', 'tanggung', 'data', 'pemilih', 'bocor', 'selidiki']",kabar data pilih bocor kpu tanggung data pilih bocor selidik
@retnosetyow4t @KPU_ID Benar ngak data pemilih bocor?,retnosetyowt KPUID Benar ngak data pemilih bocor,"['retnosetyowt', 'kpuid', 'benar', 'ngak', 'data', 'pemilih', 'bocor']","['retnosetyowt', 'kpuid', 'ngak', 'data', 'pemilih', 'bocor']",retnosetyowt kpuid ngak data pilih bocor
"Baru di Pilpres 2024, format debat menimbulkan kegaduhan. Di sisi lain, lagi-lagi data pemilih di KPU bocor. Masih mampukah KPU mengawal pesta demokrasi?  Simak pembahasannya dalam #ROSIKompasTV sesaat lagi di KompasTV @Rosi_KompasTV   📺: https://t.co/rUTSoY8ekA https://t.co/kkyx7HgPJ3",Baru di Pilpres  format debat menimbulkan kegaduhan Di sisi lain lagilagi data pemilih di KPU bocor Masih mampukah KPU mengawal pesta demokrasi  Simak pembahasannya dalam ROSIKompasTV sesaat lagi di KompasTV RosiKompasTV     ,"['baru', 'di', 'pilpres', 'format', 'debat', 'menimbulkan', 'kegaduhan', 'di', 'sisi', 'lain', 'lagilagi', 'data', 'pemilih', 'di', 'kpu', 'bocor', 'masih', 'mampukah', 'kpu', 'mengawal', 'pesta', 'demokrasi', 'simak', 'pembahasannya', 'dalam', 'rosikompastv', 'sesaat', 'lagi', 'di', 'kompastv', 'rosikompastv']","['pilpres', 'format', 'debat', 'menimbulkan', 'kegaduhan', 'sisi', 'lagilagi', 'data', 'pemilih', 'kpu', 'bocor', 'kpu', 'mengawal', 'pesta', 'demokrasi', 'simak', 'pembahasannya', 'rosikompastv', 'kompastv', 'rosikompastv']",pilpres format debat timbul gaduh sisi lagilagi data pilih kpu bocor kpu awal pesta demokrasi simak bahas rosikompastv kompastv rosikompastv
